"","all_trips$rider_type","all_trips$day","all_trips$ride_length"
"1","casual","Friday",1855.0280333798
"2","member","Friday",765.738960050518
"3","casual","Monday",1959.46523851574
"4","member","Monday",761.454785809627
"5","casual","Saturday",2091.781360466
"6","member","Saturday",886.298154588189
"7","casual","Sunday",2255.26113167545
"8","member","Sunday",909.427229290484
"9","casual","Thursday",1690.1360384213
"10","member","Thursday",737.999783557618
"11","casual","Tuesday",1724.87101064327
"12","member","Tuesday",740.673616956039
"13","casual","Wednesday",1699.47432363574
"14","member","Wednesday",744.255047696282
